nose_rs_rh_angle,nose_ls_lh_angle,rear_rsrh_angle,lear_lslh_angle,lsh_lh_lk_angle,rsh_rh_rk_angle,nose_rh_rk_angle,nose_lh_lk_angle,rsh_lh_lk_angle,lsh_rh_rk_angle,label
-0.2727,-0.8775,-0.7564,-0.9893,-0.1935,-0.2209,0.2225,-0.0487,-0.5307,0.1522,1
-0.5153,-0.4273,-0.9387,-0.8638,0.0566,0.0517,0.3223,0.3861,0.1626,-0.0578,1
-0.6627,-0.4095,-0.9883,-0.8118,-0.0475,-0.0891,0.1592,0.3294,0.1394,-0.2855,0
-0.6438,-0.4083,-0.9821,-0.8717,-0.1175,-0.3168,-0.0752,0.2534,0.111,-0.4965,0
-0.8822,-0.3565,-0.9861,-0.7044,0.384,0.4363,0.5519,0.7031,0.6636,0.1004,0
-0.3432,-0.279,-0.8356,-0.8591,0.729,0.7353,0.9222,0.9192,0.7207,0.7428,0
-0.8389,-0.6089,-0.9864,-0.9269,0.0823,-0.0562,0.1201,0.3866,0.2991,-0.2914,0
-0.6855,-0.7071,-0.9597,-0.9922,0.1526,0.1585,0.4905,0.3975,-0.0852,0.3297,1
-0.4529,-0.6049,-0.8389,-0.975,-0.0321,-0.0235,0.3249,0.2295,-0.1928,0.1305,1
-0.9891,-0.4387,-0.9941,-0.855,0.0742,0.2058,0.2503,0.451,0.5189,-0.2107,1
-0.9333,-0.3707,-0.9857,-0.7323,0.308,0.4332,0.5354,0.6738,0.6418,0.0719,1
-0.3464,-0.9627,-0.7877,-0.9914,0.1866,-0.0905,0.3372,0.2564,-0.229,0.3553,1
-0.7301,-0.4166,-0.9995,-0.9066,0.2809,0.3227,0.5105,0.5745,0.4207,0.1854,1
-0.4746,-0.4867,-0.8806,-0.9236,0.0307,0.0432,0.3539,0.3096,-0.0353,0.1074,1
-0.1561,-0.8526,-0.6371,-0.9988,-0.3049,-0.315,0.0288,-0.1741,-0.5195,-0.0646,1
-0.7349,-0.8684,-0.9818,-0.9943,0.151,-0.0005,0.3105,0.3077,-0.1057,0.2229,1
-0.616,-0.4985,-0.9586,-0.8765,0.8685,0.6918,0.8679,0.9821,0.907,0.6276,0
-0.9587,-0.4533,-0.9661,-0.8568,-0.0071,0.1031,0.189,0.3532,0.3447,-0.2307,1
-0.5698,-0.7309,-0.9875,-0.9683,0.8653,0.8413,0.9537,0.9702,0.8985,0.777,0
-0.9193,-0.3098,-0.9629,-0.7757,0.4111,0.0988,0.1987,0.737,0.7232,-0.3197,0
-0.4529,-0.6049,-0.8389,-0.975,-0.0321,-0.0235,0.3249,0.2295,-0.1928,0.1305,1
-0.9111,-0.3919,-0.9573,-0.8268,0.5541,0.082,0.1923,0.8262,0.8041,-0.3066,0
-0.6307,-0.436,-0.982,-0.9337,-0.1832,-0.2841,-0.0431,0.1212,-0.0764,-0.3759,1
-0.8201,-0.0749,-0.9852,-0.4137,0.1504,0.3708,0.6328,0.6148,0.3069,0.272,0
-0.6366,-0.6445,-0.9643,-0.9668,0.8341,0.7951,0.9233,0.9513,0.8501,0.7754,0
-0.6262,-0.5775,-0.992,-0.95,0.7901,0.6414,0.8296,0.9516,0.8692,0.4926,0
-0.388,-0.8487,-0.8526,-0.9998,-0.0717,-0.1563,0.2375,0.0835,-0.3639,0.1596,1
-0.3584,-0.7861,-0.7641,-0.9945,-0.164,-0.1316,0.1615,-0.0091,-0.3198,0.0366,1
-0.91,-0.2474,-0.9636,-0.5842,0.198,0.1404,0.2593,0.5804,0.5539,-0.2644,0
-0.4238,-0.6161,-0.8551,-0.9446,0.2329,0.3133,0.6355,0.5336,0.1927,0.3629,0
-0.5698,-0.7309,-0.9875,-0.9683,0.8653,0.8413,0.9537,0.9702,0.8985,0.777,0
-0.6224,-0.5705,-0.9741,-0.9739,0.6297,0.616,0.8031,0.8228,0.676,0.5657,0
-0.7349,-0.5492,-0.8781,-0.7253,0.951,-0.1031,-0.3552,0.9999,0.9443,-0.6976,0
-0.3896,-0.5647,-0.8485,-0.9481,-0.0688,-0.0767,0.2748,0.2006,-0.1769,0.037,1
-0.411,-0.6133,-0.8374,-0.9495,0.308,0.263,0.5763,0.5695,0.2548,0.3233,0
-0.2933,-0.2553,-0.8074,-0.8262,0.3931,0.3692,0.6779,0.6962,0.3844,0.3775,0
-0.6307,-0.7478,-0.9448,-0.9813,0.5454,0.594,0.7993,0.7341,0.5167,0.6258,1
-0.6719,-0.3988,-0.9671,-0.9681,-0.2291,0.0492,0.482,0.1223,-0.5696,0.2393,1
